,,中華民國113年01月底,,
區  域  別,戶    數,人        口        數,,
,,計,男,女
臺南市,727671 ,1859800 ,923061 ,936739 
新營區,30143 ,74965 ,36821 ,38144 
鹽水區,10180 ,24239 ,12599 ,11640 
白河區,10538 ,25818 ,13445 ,12373 
柳營區,8075 ,20257 ,10560 ,9697 
後壁區,8699 ,21572 ,11128 ,10444 
東山區,8043 ,19114 ,10186 ,8928 
麻豆區,16542 ,43034 ,21767 ,21267 
下營區,9362 ,22396 ,11556 ,10840 
六甲區,8133 ,21174 ,10916 ,10258 
官田區,8263 ,20836 ,10633 ,10203 
大內區,3631 ,8712 ,4679 ,4033 
佳里區,21971 ,58226 ,28694 ,29532 
學甲區,9890 ,24648 ,12626 ,12022 
西港區,9095 ,25001 ,12596 ,12405 
七股區,7925 ,21234 ,10989 ,10245 
將軍區,7055 ,18226 ,9296 ,8930 
北門區,3996 ,9975 ,5019 ,4956 
新化區,15340 ,42784 ,21638 ,21146 
善化區,20727 ,52471 ,26325 ,26146 
新市區,13990 ,37677 ,18907 ,18770 
安定區,10896 ,29905 ,15341 ,14564 
山上區,2758 ,7003 ,3687 ,3316 
玉井區,5186 ,13017 ,6715 ,6302 
楠西區,3430 ,8681 ,4579 ,4102 
南化區,2779 ,7986 ,4281 ,3705 
左鎮區,1837 ,4217 ,2411 ,1806 
仁德區,30319 ,77383 ,38840 ,38543 
歸仁區,24563 ,68722 ,34623 ,34099 
關廟區,11793 ,33204 ,16983 ,16221 
龍崎區,1463 ,3456 ,1881 ,1575 
永康區,91175 ,235126 ,115071 ,120055 
東　區,74390 ,181923 ,86474 ,95449 
南　區,48378 ,121076 ,59395 ,61681 
北　區,52632 ,126541 ,61153 ,65388 
安南區,72139 ,202003 ,101106 ,100897 
安平區,28983 ,69168 ,32600 ,36568 
中西區,33352 ,78030 ,37541 ,40489 
