,,中華民國113年01月底,,
區  域  別,戶    數,人        口        數,,
,,計,男,女
高雄市,1151308 ,2737530 ,1342653 ,1394877 
鹽埕區,10834 ,22558 ,11048 ,11510 
鼓山區,61301 ,140757 ,67167 ,73590 
左營區,83747 ,197373 ,93676 ,103697 
楠梓區,79382 ,193162 ,94077 ,99085 
三民區,142408 ,331890 ,158810 ,173080 
新興區,23600 ,49612 ,23571 ,26041 
前金區,13894 ,27103 ,12656 ,14447 
苓雅區,74328 ,163841 ,77808 ,86033 
前鎮區,79804 ,179681 ,87692 ,91989 
旗津區,10706 ,26167 ,13369 ,12798 
小港區,70315 ,155026 ,76251 ,78775 
鳳山區,148448 ,356403 ,173107 ,183296 
林園區,27371 ,68168 ,34109 ,34059 
大寮區,44933 ,112029 ,56805 ,55224 
大樹區,14209 ,40440 ,20592 ,19848 
大社區,13561 ,33680 ,17032 ,16648 
仁武區,40844 ,97471 ,48944 ,48527 
鳥松區,19744 ,44421 ,22281 ,22140 
岡山區,36203 ,95529 ,47037 ,48492 
橋頭區,17395 ,41807 ,20873 ,20934 
燕巢區,10977 ,28744 ,15048 ,13696 
田寮區,3030 ,6510 ,3601 ,2909 
阿蓮區,9505 ,27388 ,13758 ,13630 
路竹區,17524 ,50293 ,25441 ,24852 
湖內區,11416 ,29517 ,14971 ,14546 
茄萣區,10709 ,29214 ,14903 ,14311 
永安區,5833 ,13868 ,6907 ,6961 
彌陀區,6883 ,18253 ,9293 ,8960 
梓官區,13227 ,34824 ,17800 ,17024 
旗山區,13748 ,34265 ,17572 ,16693 
美濃區,15076 ,36947 ,19427 ,17520 
六龜區,5366 ,11677 ,6278 ,5399 
甲仙區,2279 ,5526 ,2911 ,2615 
杉林區,4728 ,10936 ,6002 ,4934 
內門區,5095 ,13159 ,7085 ,6074 
※茂林區,626 ,1897 ,931 ,966 
※桃源區,1382 ,4230 ,2205 ,2025 
※那瑪夏區,877 ,3164 ,1615 ,1549 
