,,中華民國113年01月底,,
區  域  別,戶    數,人        口        數,,
,,計,男,女
桃園市,905018 ,2319118 ,1143524 ,1175594 
桃園區,191195 ,471184 ,226483 ,244701 
中壢區,172706 ,431586 ,210436 ,221150 
大溪區,35373 ,94634 ,47917 ,46717 
楊梅區,67479 ,180121 ,89890 ,90231 
蘆竹區,63955 ,169249 ,83518 ,85731 
大園區,33640 ,86698 ,43904 ,42794 
龜山區,76476 ,178602 ,88128 ,90474 
八德區,81656 ,213620 ,105768 ,107852 
龍潭區,47154 ,126648 ,62805 ,63843 
平鎮區,84838 ,229715 ,113250 ,116465 
新屋區,18178 ,49235 ,26039 ,23196 
觀音區,28373 ,74605 ,38452 ,36153 
※復興區,3995 ,13221 ,6934 ,6287 
