,,中華民國113年01月底,,
區  域  別,戶    數,人        口        數,,
,,計,男,女
臺中市,1061552 ,2847264 ,1392198 ,1455066 
中　區,8243 ,17803 ,8722 ,9081 
東　區,30765 ,76923 ,37873 ,39050 
南　區,52169 ,126954 ,60471 ,66483 
西　區,47377 ,113673 ,53496 ,60177 
北　區,62274 ,144036 ,68301 ,75735 
西屯區,95147 ,235603 ,112186 ,123417 
南屯區,72157 ,182421 ,86603 ,95818 
北屯區,120786 ,304786 ,144674 ,160112 
豐原區,56673 ,163916 ,80520 ,83396 
東勢區,17637 ,47375 ,24094 ,23281 
大甲區,24681 ,74673 ,37369 ,37304 
清水區,32229 ,89921 ,45788 ,44133 
沙鹿區,34183 ,98938 ,49509 ,49429 
梧棲區,20803 ,61124 ,30559 ,30565 
后里區,17395 ,53579 ,26899 ,26680 
神岡區,20798 ,64354 ,32749 ,31605 
潭子區,38759 ,108968 ,53602 ,55366 
大雅區,31695 ,95660 ,47461 ,48199 
新社區,7892 ,23069 ,11902 ,11167 
石岡區,4946 ,14098 ,7271 ,6827 
外埔區,10204 ,31158 ,15919 ,15239 
大安區,5739 ,18046 ,9488 ,8558 
烏日區,29966 ,80255 ,39814 ,40441 
大肚區,19108 ,55926 ,28439 ,27487 
龍井區,25912 ,78460 ,39353 ,39107 
霧峰區,21488 ,63833 ,32253 ,31580 
太平區,72327 ,198420 ,97579 ,100841 
大里區,75473 ,212502 ,103555 ,108947 
※和平區,4726 ,10790 ,5749 ,5041 
