,,中華民國113年01月底,,
區  域  別,戶    數,人        口        數,,
,,計,男,女
臺北市,1064869 ,2511291 ,1186485 ,1324806 
松山區,80524 ,193453 ,89992 ,103461 
信義區,89355 ,206666 ,97333 ,109333 
大安區,119925 ,291687 ,135081 ,156606 
中山區,101056 ,216359 ,99358 ,117001 
中正區,65509 ,150154 ,70868 ,79286 
大同區,53185 ,119957 ,57489 ,62468 
萬華區,79424 ,173431 ,83987 ,89444 
文山區,108657 ,260298 ,123605 ,136693 
南港區,48266 ,113893 ,54974 ,58919 
內湖區,111500 ,276173 ,130565 ,145608 
士林區,108174 ,266841 ,127765 ,139076 
北投區,99294 ,242379 ,115468 ,126911 
